,key,title,level,expected_duration
0,ud109,Asynchronous JavaScript Requests,intermediate,3
1,ud210,C++ For Programmers,intermediate,3
2,ud1110,Introduction to Python,beginner,5
3,ud954,Artificial Intelligence,intermediate,4
4,ud404,Data Analysis and Visualization,intermediate,16
5,ud610,Localization Essentials,beginner,2
6,ud400,Human-Computer Interaction,intermediate,16
7,ud333,Software Analysis & Testing,intermediate,16
8,ud279,Cyber-Physical Systems Security,intermediate,16
9,ud199,Network Security,intermediate,16
10,ud169,Embedded Systems,intermediate,16
12,ud150,Database Systems Concepts & Design,intermediate,16
13,ud456,GitHub & Collaboration,beginner,3
14,ud356,ES6 - JavaScript Improved,advanced,4
15,ud123,Version Control with Git,beginner,5
16,ud353,Firebase Analytics: iOS,intermediate,1
17,ud354,Firebase Analytics: Android,intermediate,2
18,ud1028,Passwordless Login Solutions for iOS,intermediate,1
19,ud357,Passwordless Login Solutions for Android,intermediate,1
20,ud206,Shell Workshop,beginner,1
21,ud303,HTTP & Web Servers,intermediate,1
22,ud1015,VR Platforms & Applications,beginner,2
24,ud1014,VR Software Development,beginner,1
25,ud1031,Server-Side Swift,intermediate,4
26,ud843,Android Basics: Networking,beginner,5
27,ud1000,Deploying a Hadoop Cluster,intermediate,3
28,ud1030,Continuous Integration and Deployment,intermediate,2
29,ud1027,Building iOS Interfaces,intermediate,2
31,ud1012,Introduction to Virtual Reality,beginner,2
32,ud1013,VR Scenes and Objects,beginner,2
33,ud1022,Swift for Beginners,beginner,7
34,ud1025,Swift for Developers,intermediate,7
35,ud1026,AutoLayout,intermediate,6
36,ud615,Scalable Microservices with Kubernetes,intermediate,1
37,ud811,Intro to Progressive Web Apps,intermediate,2
38,ud891,Web Accessibility,advanced,6
39,ud864,Google Maps APIs,intermediate,2
40,ud513,Technical Interview,intermediate,4
41,ud834,Android for Beginners,beginner,2
42,ud836,Android Basics: User Input,beginner,4
43,ud839,Android Basics: Multiscreen Apps,beginner,2
44,ud843,Android Basics: Networking,beginner,5
45,ud845,Android Basics: Data Storage,beginner,8
46,ud976,Problem Solving with Advanced Analytics,beginner,2
47,ud977,Creating an Analytical Dataset,beginner,2
48,ud978,Classification Models,intermediate,2
49,ud803,Intro to JavaScript,beginner,0
50,ud851,New Android Fundamentals,intermediate,10
51,ud853,Developing Android Apps,intermediate,10
52,ud855,Advanced Android App Development,advanced,6
53,ud867,Gradle for Android and Java,advanced,6
54,ud876-1,Google Location Services on Android,intermediate,2
55,ud876-2,Google Analytics for Android,intermediate,2
56,ud876-3,Monetize Your Android App with Ads,intermediate,2
57,ud876-4,Add Google Maps to your Android App,intermediate,2
58,ud825,Android Performance,advanced,4
59,ud862,Material Design for Android Developers,intermediate,4
60,ud875A,Android Wear Development,advanced,2
61,ud875B,Android TV and Google Cast Development,advanced,1
62,ud875C,Android Auto Development,advanced,1
63,ud009,Firebase Essentials For Android,advanced,8
64,ud806,Get Your Startup Started,intermediate,3
65,ud509,Product Design,intermediate,2
66,ud518,App Monetization,intermediate,1
67,ud723,Rapid Prototyping,intermediate,3
68,ud719,App Marketing,intermediate,2
